UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
110404,0.8749960186498265,0.0004206997174830274,0.476781457247315,0.13813739149018892,1
110413,-0.6628616903013642,0.026221310898054066,0.15619424864628506,0.6465098932866923,2
110422,0.9513997444140367,6.7110301800823456e-06,0.7463251160240703,0.008336842607906205,1
110486,0.05194041614896655,0.879451677051269,-0.0997608823049104,0.7704125186562937,4
110495,0.5935768161579448,0.05420597401758663,0.7373075290796878,0.009617664033231981,1
110510,0.14718702932513006,0.6658393141909986,-0.3410237014381743,0.30474148826569947,4
110529,0.7068507892234783,0.015009110405129143,0.7827029270856006,0.004398169182678034,1
110538,-0.1434156042561851,0.6739880581464374,0.805351764578011,0.002775891761918561,2
110547,-0.43884802608717843,0.17691619664526065,0.2263364156907577,0.5033477113583189,2
110556,-0.3335842674832193,0.31609067785610756,0.6572949480676233,0.027970831694605666,2
110565,0.5210642762337037,0.10026105436680793,-0.42974464740679147,0.18711441572967677,4
110574,0.41958187531674196,0.19891099239527596,0.4730939362228444,0.14164655310668167,1
110583,0.6630377204722104,0.02616728306256055,-0.6260250082106668,0.03935233666739246,4
110592,-0.14884662779719754,0.6622636872072385,0.4773620030979153,0.13758998294329305,2
110608,0.06397088632810322,0.8517712743405689,-0.6769493482932498,0.022141346005192363,4
110617,0.8273928502281815,0.0016720393818266148,-0.3715345787334505,0.2605739499212704,4
110635,0.925661245989871,4.3752590565085635e-05,0.1653372882158622,0.6270876022791444,1
110644,0.9204640030581275,5.884974555684229e-05,0.8379402575208044,0.0012794191154659913,1
110653,0.9016710173284501,0.00014865800437451743,0.6407418778654046,0.033657308170086116,1
110662,0.7953245123912094,0.0034264052839134635,0.7785715445395996,0.004756463039520511,1
110671,0.3950578593827877,0.2291703216467316,0.621379504579588,0.04128073900691866,1
110680,0.6558854203737139,0.028426547565997246,-0.4370156011975602,0.1789410513597337,4
110705,0.6819069148517782,0.020819704947214197,0.27093870280011445,0.42032447283961943,1
110714,0.9125378775281914,8.918891807049465e-05,0.3903114524945155,0.2353195606290011,1
111948,0.2847070306186372,0.39612597163352786,0.4216308624876945,0.19649760246699846,1
112260,0.7363780002313378,0.009757365662242614,0.5585273412444747,0.07411910126520863,1
115409,0.43390552279829964,0.18240996168628335,0.8116281187679499,0.0024185136738763893,1
115755,0.04501491356060028,0.8954432403838614,0.40512231790959774,0.2164452918647097,1
117140,-0.47654281252440056,0.13836281303823947,-0.46694056257280225,0.14762629567219462,3
117627,0.10040241611281236,0.7689706037074531,0.3847106673611202,0.2426976155059352,1
117946,0.7767012623403434,0.004925549888207859,-0.49533835985641655,0.12131531482929878,4
119605,-0.5277912599528102,0.09517967985978697,-0.6854771640966024,0.019903409372776206,3
120184,-0.0525669719606362,0.8780068172123139,0.13231995104945024,0.6981421344226582,2
120883,0.04448572215505957,0.896666694661321,-0.2648367963427999,0.43127132255153283,4
121309,-0.10247790759598721,0.7643102361311643,0.8587001226302926,0.000712511932669212,2
121345,0.5443349666679758,0.08341060909955494,0.22779172508424467,0.5005324757362761,1
122409,0.6144692201876019,0.044268974825798314,0.12419214753380659,0.7159977815241063,1
122436,0.4796606235195653,0.1354360452761201,-0.47362445143624865,0.14113827557006486,4
122597,0.27454334036318756,0.41392145729307445,-0.502094518950515,0.11553385881150177,4
122612,0.058344886362158704,0.8646989906889532,0.14634097342406166,0.6676645639537094,1
122755,0.6622932671233837,0.02639631164297376,-0.8127234823918832,0.002359843713049655,4
122931,0.1965199101417575,0.5624868161068945,-0.2397724837555906,0.4776206157222584,4
123572,0.27244749408399177,0.4176385742155766,0.43042342200242656,0.18634200024277373,1
123961,0.7024819373877482,0.015930071559276754,0.42342755028190826,0.19439593518000947,1
125231,0.0958112557004263,0.7793039472074963,0.8076932521962158,0.002638269464393534,1
125727,0.3221580692117222,0.3339574486868225,-0.10368873121357601,0.7615946460223381,4
